ID,ArthropodSightingFK,OriginalGroup,SuggestedGroups,SupportingIdentifications,DisputingIdentifications,ExpertIdentification,INaturalistObservationURL,LastUpdated
1,74338,leafhopper,truebugs,0,1,,https://www.inaturalist.org/observations/34754384,"2021-07-26 05:48:13"
2,74196,grasshopper,truebugs,0,3,truebugs,https://www.inaturalist.org/observations/33992925,"2021-07-26 05:48:13"
3,73747,grasshopper,truebugs,0,3,truebugs,https://www.inaturalist.org/observations/33328178,"2021-07-26 05:51:19"
4,73516,caterpillar,beetle,0,5,beetle,https://www.inaturalist.org/observations/32914719,"2021-07-26 05:54:13"
5,73521,beetle,truebugs,0,3,truebugs,https://www.inaturalist.org/observations/32891626,"2021-07-26 05:54:13"
6,73392,beetle,truebugs,0,3,truebugs,https://www.inaturalist.org/observations/32835053,"2021-07-26 05:57:18"
7,73183,beetle,leafhopper,0,1,,https://www.inaturalist.org/observations/32424665,"2021-07-26 05:57:18"
8,73112,fly,Neuroptera,0,3,Neuroptera,https://www.inaturalist.org/observations/32172150,"2021-07-26 05:57:18"
9,73066,leafhopper,Neuroptera,0,2,Neuroptera,https://www.inaturalist.org/observations/32077799,"2021-07-26 05:57:18"
10,72914,leafhopper,moths,0,4,moths,https://www.inaturalist.org/observations/31790153,"2021-07-26 06:00:12"
11,72498,truebugs,Blattodea,0,1,,https://www.inaturalist.org/observations/31454799,"2021-07-26 06:03:14"
12,72477,truebugs,beetle,0,3,beetle,https://www.inaturalist.org/observations/31454292,"2021-07-26 06:06:12"
13,72396,beetle,truebugs,0,4,truebugs,https://www.inaturalist.org/observations/30898016,"2021-07-26 06:06:12"
14,72219,caterpillar,"bee (sawfly)",0,3,"bee (sawfly)",https://www.inaturalist.org/observations/30714319,"2021-07-26 06:09:15"
15,71333,spider,moths,0,2,moths,https://www.inaturalist.org/observations/29934607,"2021-07-26 06:15:15"
16,71282,beetle,"truebugs, leafhopper",0,3,truebugs,https://www.inaturalist.org/observations/29926049,"2021-07-26 06:15:15"
17,71277,beetle,truebugs,0,3,truebugs,https://www.inaturalist.org/observations/29925156,"2021-07-26 06:15:15"
18,71264,beetle,truebugs,0,3,truebugs,https://www.inaturalist.org/observations/29923196,"2021-07-26 06:15:15"
19,71255,grasshopper,leafhopper,0,4,leafhopper,https://www.inaturalist.org/observations/29922659,"2021-07-26 06:15:15"
20,71252,grasshopper,leafhopper,0,4,leafhopper,https://www.inaturalist.org/observations/29922481,"2021-07-26 06:15:15"
21,71243,beetle,truebugs,0,3,truebugs,https://www.inaturalist.org/observations/29922090,"2021-07-26 06:15:15"
22,71166,grasshopper,truebugs,0,3,truebugs,https://www.inaturalist.org/observations/29917036,"2021-07-26 06:15:15"
23,71116,fly,Psocodea,0,3,Psocodea,https://www.inaturalist.org/observations/29911358,"2021-07-26 06:18:16"
24,71093,caterpillar,"bee (sawfly)",0,2,"bee (sawfly)",https://www.inaturalist.org/observations/29852955,"2021-07-26 06:18:16"
25,70823,bee,"bee (sawfly)",0,2,"bee (sawfly)",https://www.inaturalist.org/observations/29588984,"2021-07-26 06:18:16"
26,70119,beetle,truebugs,0,3,truebugs,https://www.inaturalist.org/observations/29451100,"2021-07-26 06:24:13"
27,69521,beetle,truebugs,0,4,truebugs,https://www.inaturalist.org/observations/29159197,"2021-07-26 06:27:08"
28,69409,caterpillar,"bee (sawfly)",0,4,"bee (sawfly)",https://www.inaturalist.org/observations/29157808,"2021-07-26 06:27:08"
29,69269,caterpillar,"bee (sawfly)",1,1,moths,https://www.inaturalist.org/observations/29156166,"2021-07-26 06:27:08"
30,69155,caterpillar,"bee (sawfly)",0,4,"bee (sawfly)",https://www.inaturalist.org/observations/29154601,"2021-07-26 06:30:15"
